Sample ID,Phylum,Class,Order,Family,Genus,species,Identifier,Plate ID,Station ID,#Barcode,18S,Depths,Salinity,CoordinatesLat,CoordinatesLong
B05,Nemertea,Enopla,Monostilifera ,Tetrastemmatidae ,Prostomatella,enteroplecta,JNorenburg,FG01,14,199440844,YES,12,38,7.620714,80.0013
C05,Nemertea,Enopla,Monostilifera ,Ototyphlonemertidae,Ototyphlonemertes,erneba,JNorenburg,FG01,14,199440835,YES,12,38,7.620714,80.0013
D05,Nemertea,Enopla,Monostilifera ,Ototyphlonemertidae,Ototyphlonemertes,erneba,JNorenburg,FG01,14,199440820,YES,12,38,7.620714,80.0013
E05,Nemertea,Enopla,Monostilifera ,,Zygonemertes?,sp,JNorenburg,FG01,15,199440811,YES,16,38,7.63008,80.002171
F05,Nemertea,Paleonemertea,,Hubrechtidae,Hubrechtella,dubia,JNorenburg,FG01,15,199440796,YES,16,38,7.63008,80.002171
G05,Nemertea,Paleonemertea,,,?,sp,JNorenburg,FG01,15,199440787,YES,16,38,7.63008,80.002171
H05,Platyhelminthes,,,,,,JNorenburg,FG01,12,199440772,YES,0,38,7.411945,80.173545
A06,Nemertea,Pilidiophora,,Lineidae,,,JNorenburg,FG01,14,199440858,YES,12,38,7.620714,80.0013
B06,Nemertea,Enopla,Monostilifera ,Ototyphlonemertidae,Ototyphlonemertes,pallida,JNorenburg,FG01,12,199440845,YES,0,38,7.411945,80.173545
C06,Nemertea,Enopla,Monostilifera ,Ototyphlonemertidae,Ototyphlonemertes,erneba,JNorenburg,FG01,12,199440834,YES,0,38,7.411945,80.173545
D06,Nemertea,Enopla,Monostilifera ,Ototyphlonemertidae,Ototyphlonemertes,duplex,JNorenburg,FG01,12,199440821,YES,0,38,7.411945,80.173545
E06,Cnidaria,Hydrozoa,Anthoathecata,Corymorphidae,Euphysa?,sp,JNorenburg,FG01,14,199440810,YES,12,38,7.620714,80.0013
F06,Platyhelminthes,Rhabditophora ,Lecithoepitheliata ,Gnosonesimidae ,Gnosonesima,,TArtois,FG01,14,199440797,NO,12,38,7.620714,80.0013
G06,Nemertea,Enopla,Monostilifera ,Ototyphlonemertidae,Ototyphlonemertes,erneba?,JNorenburg,FG01,14,199440786,YES,12,38,7.620714,80.0013
H06,Nemertea,Palaeonemertea ,,Carinomidae?,Carinoma?,sp,JNorenburg,FG01,14,199440773,YES,12,38,7.620714,80.0013
A07,Nemertea,Enopla,Monostilifera ,Ototyphlonemertidae,Ototyphlonemertes,erneba,JNorenburg,FG01,14,199440857,YES,12,38,7.620714,80.0013
B07,Nemertea,Enopla,Monostilifera ,Ototyphlonemertidae,Ototyphlonemertes,erneba,JNorenburg,FG01,14,199440846,YES,12,38,7.620714,80.0013
C07,Nemertea,Enopla,Monostilifera ,Ototyphlonemertidae,Ototyphlonemertes,erneba,JNorenburg,FG01,14,199440833,YES,12,38,7.620714,80.0013
D07,Platyhelminthes,Rhabditophora ,Lecithoepitheliata ,Gnosonesimidae ,Gnosonesima,,TArtois,FG01,14,199440822,YES,12,38,7.620714,80.0013
