FeatureID	Taxon	Confidence
009aa460aaafa1e5382fc9330d4bcb1d	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;__;__	0.999762908474533
009e239521b3cf48dd58a92d5e8d263b	k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__Cenarchaeaceae;g__Nitrosopumilus;__	0.925993518325609
009e91633d6175dbff0a10dfff94caf9	k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Saprospiraceae;__;__	0.955099609887652
009f857ea2134584489748f68b87d82e	k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__Cenarchaeaceae;g__Nitrosopumilus;__	0.939597660917982
00a36cf841cbe9f07de7dde3e18e9f7b	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Acidithiobacillales;__;__;__	0.885910095548745
00a58f2582840258ee0177b9a461aba7	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__[Entotheonellales];f__[Entotheonellaceae];__;__	0.843633862994023
00af2c7b240aace9e6988c4cbbcbe10e	k__Bacteria;p__FBP;__;__;__;__;__	0.999776781387777
00aff20249bcd7140677014dfe77e062	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobulbaceae;__;__	0.827200998377163
00b066e0f7ddaf53354ea55fad2e3234	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;__;__	0.997538780905706
00b0b9e5f25f53fe13232846472765fc	k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;__;__	0.868050143051919
00b3618346e5b8a0a3e80f1e5fffd9a2	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;__;__;__;__	0.999164810905205
00b39b1d5fb3dc2c70561c04772a9ce2	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__Glaciecola;s__punicea;	0.987360827382456
00b4d0db48ec7f09a1ffe07743c9a39f	k__Bacteria;p__WS3;c__PRR-12;o__Sediment-1;__;__;__	0.999925311032282
00b6843dc7916f22de5f4f7c121e8044	k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;__;__	0.742373572106593
00b9f961895a8c190669b537c6e34226	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia;__	0.975033532595444
00bacee835d72f63270d4f71f6497619	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;__;__	0.899665896327707
00bc751add81a96824b7a1e2f98e8976	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Sva0853;f__JTB36;__;__	0.957201719394552
00be69a00dbda556082c5a39374c2831	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Pseudoalteromonadaceae;g__Pseudoalteromonas;__	0.91463910968026
00c435841dbd85d799e6b72fb5d67829	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Ectothiorhodospiraceae;__;__	0.827063427133034
00c7715d137f4167d0ba202e5307020b	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Balneimonas;__	0.790441734488271
00c92ca94d916eac6b794baefab65791	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__BD7-3;__;__;__	0.982993064763557
00cc258ef2ad652b0f4e05a3922b909d	k__Bacteria;p__Acidobacteria;c__Sva0725;o__Sva0725;__;__;__	0.99147459369751
00cd72ee2cafb92d70e8b65bc692f206	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Sva0853;__;__;__	0.998511250523268
00ceab1af9f22a0510baa29085af3750	k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;__;__	0.933600321743874
00d2fcee4bb3decdec717b209e53b773	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;__;__	0.999927612869434
00d523541614eb7b5025139548dde81f	k__Bacteria;p__Chlorobi;c__BSV26;o__C20;__;__;__	0.999028968358949
00d8c1fc289254db2ca96d7ad8a3081b	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Shewanellaceae;g__Shewanella;s__benthica;	0.995030281181255
00d8e7e9c537d47fd12401d59caed085	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__copri;	0.995576617617666
00dcb688726a5a67f79921f8a75736b8	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;__;__	0.985673516338524
00ddb2cb1369eb189650c68a71e973d8	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__OM27;__;__	0.986147345602744
00df0c7c32941b6fa4b9926bee6c2928	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Oceanospirillaceae;g__Oleibacter;__	0.995600851273609
00e02bf5fb5025c88cea3439649c5823	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylobacteriaceae;g__Methylobacterium;__	0.999942385478723
00e64c07ec3c8a8160d6c1c66d3f7641	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__[Weeksellaceae];__;__	0.920816880950547
00e777a337652966f6d41b9618333eb0	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Syntrophobacteraceae;__;__	0.858223416869311
